1668085140000,16651.64000000,16675.85000000,16644.44000000,16672.03000000,198.42801000,1668085199999,3306084.38342460,5916,109.70718000,1827985.32170620,0
1668085200000,16675.47000000,16679.95000000,16646.70000000,16648.51000000,178.34959000,1668085259999,2971906.40028250,5113,88.71625000,1478430.45588560,0
1668085260000,16648.43000000,16679.87000000,16638.47000000,16675.76000000,326.45507000,1668085319999,5439962.15366830,6938,182.53237000,3041878.74964150,0
1668085320000,16676.96000000,16746.98000000,16674.98000000,16734.41000000,470.99568000,1668085379999,7871685.55842400,10181,278.40047000,4652740.46443720,0
1668085380000,16734.41000000,16756.00000000,16731.02000000,16752.77000000,284.05820000,1668085439999,4755529.71381280,7301,151.71850000,2540156.96180500,0
1668085440000,16752.77000000,16775.47000000,16741.69000000,16770.73000000,417.37917000,1668085499999,6994964.62845950,8672,224.62269000,3764568.00146400,0
1668085500000,16771.14000000,16771.14000000,16723.18000000,16723.18000000,320.03822000,1668085559999,5359889.16344180,6752,142.91488000,2393711.53895640,0
1668085560000,16723.92000000,16726.92000000,16668.85000000,16698.60000000,468.41621000,1668085619999,7820612.05169430,9635,240.71660000,4019153.05044150,0
1668085620000,16698.60000000,16707.39000000,16661.58000000,16675.16000000,390.17905000,1668085679999,6511327.52393570,8137,193.10330000,3223006.90859820,0
1668085680000,16675.16000000,16691.44000000,16670.00000000,16675.75000000,379.06567000,1668085739999,6322682.20865060,7941,187.38348000,3125587.87573750,0
1668085740000,16675.30000000,16717.80000000,16673.39000000,16714.71000000,413.95136000,1668085799999,6911431.06111300,8229,225.09434000,3758488.17785240,0
1668085800000,16714.71000000,16717.84000000,16684.31000000,16696.46000000,367.55858000,1668085859999,6136735.48287910,6653,178.86401000,2986290.79112290,0
1668085860000,16696.46000000,16703.00000000,16676.00000000,16676.48000000,218.00684000,1668085919999,3638000.59519810,4867,114.92715000,1918024.11933350,0
1668085920000,16676.48000000,16699.85000000,16670.10000000,16699.85000000,251.49390000,1668085979999,4196421.95167890,5569,118.00419000,1969195.26975660,0
1668085980000,16695.77000000,16736.24000000,16695.30000000,16730.17000000,281.67281000,1668086039999,4709447.27244740,7138,153.92706000,2573618.61410280,0
1668086040000,16730.17000000,16733.63000000,16700.02000000,16711.06000000,205.46901000,1668086099999,3435070.53131810,5874,95.82861000,1602081.15739390,0
1668086100000,16712.03000000,16716.19000000,16700.00000000,16709.71000000,178.51901000,1668086159999,2982738.72099760,4762,92.77138000,1550066.56958690,0
1668086160000,16710.44000000,16711.55000000,16580.10000000,16617.83000000,1070.17292000,1668086219999,17819056.90087510,12714,311.20720000,5185702.90675080,0
1668086220000,16617.83000000,16639.44000000,16590.64000000,16637.47000000,582.63654000,1668086279999,9678211.45096150,9958,287.32820000,4773109.17669450,0
