1672081200000,16819.57000000,16819.78000000,16815.71000000,16818.31000000,86.00326000,1672081259999,1446371.20637200,2910,39.22461000,659664.57870690,0
1672081260000,16818.43000000,16818.68000000,16816.97000000,16818.35000000,41.90993000,1672081319999,704840.77411040,1765,20.43319000,343648.88828550,0
1672081320000,16818.48000000,16818.90000000,16818.01000000,16818.42000000,24.10267000,1672081379999,405370.52560390,1265,12.89377000,216855.35337330,0
1672081380000,16818.42000000,16819.87000000,16817.62000000,16818.62000000,50.71009000,1672081439999,852881.17364300,2207,27.96528000,470344.83370520,0
1672081440000,16819.05000000,16820.76000000,16816.91000000,16819.91000000,59.84846000,1672081499999,1006583.40009570,2315,35.35575000,594652.41991580,0
1672081500000,16819.60000000,16819.91000000,16817.13000000,16818.63000000,39.70612000,1672081559999,667812.35245040,1472,15.78133000,265427.18373870,0
1672081560000,16818.91000000,16819.91000000,16817.46000000,16819.55000000,58.01050000,1672081619999,975680.65142520,1967,32.55577000,547560.34171890,0
1672081620000,16819.53000000,16819.83000000,16817.28000000,16819.09000000,87.24025000,1672081679999,1467241.22067800,2418,39.84652000,670159.74650510,0
1672081680000,16819.09000000,16821.02000000,16818.79000000,16819.77000000,45.25190000,1672081739999,761139.34754260,1843,24.20665000,407159.30185100,0
1672081740000,16819.77000000,16821.00000000,16819.16000000,16819.84000000,37.98533000,1672081799999,638910.25979480,1393,19.29725000,324580.52396090,0
1672081800000,16820.14000000,16821.61000000,16818.74000000,16819.14000000,70.08432000,1672081859999,1178824.61108920,2331,31.03568000,522031.88385990,0
1672081860000,16819.18000000,16821.24000000,16818.27000000,16820.40000000,56.48309000,1672081919999,950031.75153350,2015,36.25922000,609874.67118800,0
1672081920000,16820.40000000,16825.70000000,16819.93000000,16825.13000000,161.56306000,1672081979999,2717966.56717890,3791,105.94528000,1782329.10062150,0
1672081980000,16825.13000000,16826.62000000,16824.23000000,16826.00000000,62.43353000,1672082039999,1050484.58109800,2117,36.85472000,620108.08824500,0
1672082040000,16825.72000000,16827.56000000,16825.33000000,16826.95000000,71.13784000,1672082099999,1197002.45882340,2313,37.13687000,624890.43652750,0
1672082100000,16826.95000000,16828.33000000,16826.12000000,16827.35000000,79.08221000,1672082159999,1330731.86469890,2883,37.25944000,626979.69523940,0
1672082160000,16827.52000000,16830.44000000,16826.83000000,16830.10000000,91.44551000,1672082219999,1538908.95349240,2985,51.27609000,862919.23690930,0
1672082220000,16830.10000000,16844.89000000,16829.66000000,16844.25000000,223.42263000,1672082279999,3761475.89082280,4976,160.20300000,2697221.33943690,0
1672082280000,16844.25000000,16855.74000000,16839.13000000,16845.51000000,372.15589000,1672082339999,6269509.81308000,7604,182.78138000,3079265.45959440,0
1672082340000,16845.51000000,16862.23000000,16843.49000000,16854.87000000,509.94152000,1672082399999,8595151.57844580,10073,272.63363000,4595343.18657360,0
1672082400000,16854.86000000,16856.27000000,16848.50000000,16849.82000000,123.62307000,1672082459999,2083312.65382690,3751,58.69380000,989139.85554660,0
1672082460000,16850.23000000,16854.01000000,16845.11000000,16845.11000000,95.76607000,1672082519999,1613715.11593510,3293,43.06511000,725707.03234420,0
1672082520000,16845.48000000,16850.17000000,16845.11000000,16846.37000000,114.27885000,1672082579999,1925334.50318270,3151,58.49497000,985520.65992310,0
1672082580000,16846.37000000,16847.15000000,16842.74000000,16845.41000000,96.05051000,1672082639999,1618003.65663420,2764,53.27646000,897475.74915770,0
1672082640000,16845.03000000,16846.43000000,16844.27000000,16845.38000000,57.09819000,1672082699999,961845.34477660,2420,27.07429000,456086.59768990,0
1672082700000,16845.03000000,16846.22000000,16844.00000000,16845.91000000,58.71412000,1672082759999,989066.13431380,2390,28.29177000,476593.23681300,0
1672082760000,16845.57000000,16849.61000000,16845.31000000,16847.63000000,89.27817000,1672082819999,1504076.28085820,3365,50.54811000,851595.36936880,0
1672082820000,16848.03000000,16848.18000000,16843.33000000,16844.63000000,112.54328000,1672082879999,1895920.91588930,3084,49.56530000,834992.74127560,0
1672082880000,16844.22000000,16845.85000000,16842.03000000,16842.91000000,73.23908000,1672082939999,1233627.06960130,2458,32.34799000,544870.98559890,0
1672082940000,16842.91000000,16844.26000000,16842.16000000,16842.75000000,36.20975000,1672082999999,609878.45039670,1339,15.97741000,269109.10382830,0
1672083000000,16842.75000000,16848.47000000,16842.30000000,16847.60000000,88.29695000,1672083059999,1487450.43812760,3221,55.56142000,935986.54838420,0
1672083060000,16847.26000000,16849.12000000,16846.02000000,16846.94000000,51.52615000,1672083119999,868069.52447310,2294,22.43121000,377908.61182540,0
1672083120000,16846.94000000,16847.19000000,16844.06000000,16844.07000000,37.96746000,1672083179999,639589.06178610,1758,16.40410000,276339.97509460,0
1672083180000,16844.58000000,16844.93000000,16840.57000000,16842.56000000,101.82802000,1672083239999,1715107.69049270,2655,45.12306000,760017.62794430,0
1672083240000,16842.56000000,16843.19000000,16840.48000000,16842.16000000,74.92591000,1672083299999,1261885.79192120,2303,42.87060000,722019.33168420,0
1672083300000,16841.81000000,16843.22000000,16841.31000000,16841.44000000,56.15809000,1672083359999,945828.28501760,1820,26.16992000,440765.54786950,0
1672083360000,16841.44000000,16843.67000000,16841.28000000,16842.82000000,38.02175000,1672083419999,640388.13713930,1335,22.08362000,371946.81915000,0
1672083420000,16842.54000000,16842.84000000,16840.41000000,16841.06000000,33.56855000,1672083479999,565339.55648070,1261,15.84395000,266833.58698340,0
1672083480000,16841.53000000,16843.34000000,16841.06000000,16843.00000000,41.33368000,1672083539999,696162.73410860,1671,21.76868000,366640.98381400,0
1672083540000,16842.99000000,16843.00000000,16840.69000000,16841.02000000,44.68484000,1672083599999,752569.90641930,1560,17.70812000,298238.73850260,0
1672083600000,16841.02000000,16842.26000000,16840.13000000,16840.36000000,53.24710000,1672083659999,896739.15424640,1379,19.93748000,335773.14310460,0
1672083660000,16840.36000000,16842.00000000,16840.18000000,16841.71000000,26.59036000,1672083719999,447815.14038750,1094,15.87992000,267438.45984740,0
1672083720000,16841.71000000,16841.72000000,16839.06000000,16839.47000000,74.32994000,1672083779999,1251736.66837670,2311,36.58481000,616102.54084710,0
1672083780000,16839.71000000,16851.99000000,16839.13000000,16851.41000000,168.78682000,1672083839999,2843610.24910470,3997,112.46567000,1894724.77777830,0
1672083840000,16851.41000000,16855.69000000,16850.69000000,16852.14000000,118.46620000,1672083899999,1996550.08635340,4020,59.39074000,1000937.02968520,0
1672083900000,16852.42000000,16860.12000000,16848.69000000,16855.13000000,224.17978000,1672083959999,3778432.22791470,4713,117.49365000,1980350.96825920,0
1672083960000,16855.13000000,16855.27000000,16845.54000000,16846.00000000,127.30692000,1672084019999,2145119.67665150,3883,42.42436000,714852.55831800,0
1672084020000,16846.45000000,16847.56000000,16845.40000000,16847.17000000,42.94868000,1672084079999,723525.83180130,1621,22.67627000,382016.95785230,0
